date,open,close,high,low
2013-03-21,71.95397957,88.25,89.98,69.6
2013-03-28,89.0,134.7,146.88,75.51
2013-04-04,134.71656,162.0,290.0,19.9
2013-04-11,162.0,93.063,205.0,0.01
2013-04-18,93.0,154.6,166.99,87.0
2013-04-25,155.0,116.0,169.13,13.0
2013-05-02,116.75,113.5,127.18,80.0
2013-05-09,113.495,108.95,122.5,103.45
2013-05-16,108.98,119.11,122.0,108.2
2013-05-23,118.45,130.35,140.68,118.41
2013-05-30,130.35,121.19,132.87,116.42
2013-06-06,121.33,106.68,121.33,89.9
2013-06-13,106.28,104.99,109.14,95.0
2013-06-20,104.83,98.69,108.0,91.0
2013-06-27,98.01,77.402,98.72,1.0
2013-07-04,77.33,73.98,82.0,62.94
2013-07-11,86.12,91.48,101.39,82.45
2013-07-18,90.85,88.36,95.68,77.0
2013-07-25,88.42,98.18,101.03,87.15
2013-08-01,97.99,97.0,98.91,93.75
2013-08-08,97.0,99.16,101.0,89.51
2013-08-15,99.4,110.43,114.45,96.24
2013-08-22,111.62,118.0,119.76,104.3
2013-08-29,117.95,122.24,134.94,115.0
2013-09-05,122.22,126.34,127.99,115.0
2013-09-12,126.92,126.9,129.11,122.53
2013-09-19,127.0,123.75,127.63,121.5
2013-09-26,123.32,103.85,128.8,83.26
2013-10-03,103.99,123.48,125.0,101.66
2013-10-10,125.67,137.56,150.0,125.0
2013-10-17,137.54,203.99,215.0,133.99
2013-10-24,204.5,198.74,210.995,155.81
2013-10-31,198.7,263.24,265.0,195.28
2013-11-07,263.5,399.9,414.73,262.0
2013-11-14,399.89,599.12,909.0,360.0
2013-11-21,599.12,963.0,969.99,589.9
2013-11-28,962.01,1138.5,1175.0,780.0
2013-12-05,1135.0,879.3,1141.0,538.0
2013-12-12,879.4,520.01,923.71,381.51
2013-12-19,519.74,679.5,721.0,491.0
2013-12-26,680.78,754.22,764.0,677.0
2014-01-02,751.88,781.0,995.0,742.52
2014-01-09,824.89,842.111,915.0,779.99
2014-01-16,842.101,818.0,847.68,765.03
2014-01-23,817.99,791.56,836.7318,726.5
2014-01-30,792.69,778.03,829.0,770.0
2014-02-06,782.0,702.0,829.0,620.0
2014-02-13,652.01,621.75,710.0,535.0
2014-02-20,624.0,584.0,644.93,400.0
2014-02-27,586.49,669.61,719.25,540.2044
2014-03-06,669.61,631.01,676.43,616.23
2014-03-13,636.10235,609.0,648.0,600.0
2014-03-20,608.9841,576.6,609.0,550.09
2014-03-27,577.9999,437.2203,579.4799,431.2
2014-04-03,436.5301,446.58,465.9998,415.46
2014-04-10,442.4499,531.25,547.0,340.0
2014-04-17,531.25,491.78,535.7499,473.83
2014-04-24,492.08,449.0201,504.96,423.11
2014-05-01,449.0201,440.43,463.53,419.4
2014-05-08,440.0,445.0,459.65,430.0
2014-05-15,444.03,494.99,501.0,443.4
2014-05-22,495.0,578.77,597.3,492.25
2014-05-29,580.0,642.0,685.0,563.0
2014-06-05,642.0,657.21,672.0,637.01
2014-06-12,637.6,608.1,647.0,522.15
2014-06-19,608.6,566.75,615.0,560.53
2014-06-26,566.75,654.61,665.0,562.9
2014-07-03,653.5,621.45,654.0,616.73
2014-07-10,623.24,616.48,642.79,608.43
